"Nombre de la cuenta";"Sector";"Tipo";"Propietario de la cuenta";"Fecha de la última modificación"
"MAQUINADOS Y MONTAJES SAS";"OEMS";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"LUCAS TOVAR";"OEMS";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"AUTCOL SAS";"OEMS";"Customer";"Juan Garzón Linares";"13/08/2025"
"Buhler AG Sucursal Colombia";"OEMS";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"SPT Ingeniería.";"OEMS";"Customer";"JHOAN ORTIZ";"16/04/2024"
"SISTEM SAS";"OEMS";"Customer";"Juan Garzón Linares";"14/08/2025"
"METAL ARANGOS";"OEMS";"Customer";"JHOAN ORTIZ";"26/09/2024"
"GRUPO LASSEN";"OEMS";"Customer";"MELISSA PEREZ";"21/08/2025"
"CPP Testing";"OEMS";"Customer";"KAREN CARRILLO";"20/01/2025"
"MECATRONID";"OEMS";"Customer";"JHOAN ORTIZ";"5/04/2024"
"Osmo Equipos Sas";"OEMS";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"DISEÑO Y FABRICACIÓN DE MAQUINARIA SAS";"OEMS";"Customer";"MELISSA PEREZ";"21/08/2025"
"SERVING SERVICIOS E INGENIERIA SAS";"OEMS";"Customer";"KAREN CARRILLO";"2/08/2024"
"YOKOGAWA COLOMBIA SAS";"OEMS";"Customer";"MELISSA PEREZ";"21/08/2025"
"SERIMEC";"OEMS";"Customer";"JHOAN ORTIZ";"16/04/2024"
"PREVITEC";"OEMS";"Integrator";"JHOAN ORTIZ";"8/04/2024"
"ALIANZA FERRETERA COMERCIALES";"OEMS";"Reseller";"LIZETH MARTINEZ";"10/04/2024"
"VMA INGENIERIA S.A.S";"OEMS";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"JPS SAS";"OEMS";"Customer";"JHOAN ORTIZ";"16/04/2024"
"IMAD SAS";"OEMS";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"ELECTRICOS YA";"OEMS";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"ELEVISYS SAS";"OEMS";"Reseller";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"AUTOMATISMOS DE COLOMBIA S.A.S.";"OEMS";"Integrator";"LIZETH MARTINEZ";"22/04/2024"
"GAG MACHINERY";"OEMS";"Integrator";"LIZETH MARTINEZ";"29/04/2024"
"FANDINMAQ";"OEMS";"Customer";"JHOAN ORTIZ";"3/05/2024"
"INTERNACIONAL DE ELECTRICOS";"OEMS";"Integrator";"LIZETH MARTINEZ";"4/06/2024"
"MTE";"OEMS";"Customer";"LIZETH MARTINEZ";"4/06/2024"
"INGEMET INSTRUMENTS & CONTROL SAS";"OEMS";"Integrator";"LIZETH MARTINEZ";"4/06/2024"
"FECON INGENIERIA";"OEMS";"Integrator";"LIZETH MARTINEZ";"19/06/2024"
"ELECTROMANDOS DEL ORIENTE";"OEMS";"Customer";"LIZETH MARTINEZ";"24/06/2024"
"PROYECTOS Y CONSULTORÍA ELÉCTRICA";"OEMS";"Customer";"LIZETH MARTINEZ";"24/06/2024"
"OPP FILM COLOMBIA S.A.S";"OEMS";"Customer";"KAREN CARRILLO";"15/08/2025"
"ELEIA SERVICES SAS";"OEMS";"Customer";"LIZETH MARTINEZ";"8/07/2024"
"SOLUCIONES MECATRONIC";"OEMS";"Customer";"JHOAN ORTIZ";"29/08/2024"
"Gruenn";"OEMS";"Customer";"JHOAN ORTIZ";"6/09/2024"
"SMART MAINTENANCE ENGINEERING";"OEMS";"Integrator";"LIZETH MARTINEZ";"19/12/2024"
"INSTRUCONTROL";"OEMS";"Customer";"LIZETH MARTINEZ";"19/12/2024"
"ERSTE INGENIERIA SAS";"OEMS";"Integrator";"LIZETH MARTINEZ";"21/10/2024"
"RIMETSU";"OEMS";"Customer";"LIZETH MARTINEZ";"19/12/2024"
"CELDAS Y COFRES DE COLOMBIA";"OEMS";"Integrator";"LIZETH MARTINEZ";"21/10/2024"
"PHIS PLAZAS HERMANOS INVERSIONES Y SERVICIOS";"OEMS";"Customer";"LIZETH MARTINEZ";"28/02/2025"
"DISELEC MTE";"OEMS";"Integrator";"KAREN CARRILLO";"17/03/2025"
"MASTERSOLUTION";"OEMS";"Customer";"LIZETH MARTINEZ";"22/04/2025"
"MOINTECSO (montajes y soluciones)";"OEMS";"Customer";"LIZETH MARTINEZ";"23/04/2025"
"LUIS ANGEL GARCÍA HERRERA";"OEMS";"Customer";"LIZETH MARTINEZ";"24/04/2025"
"POTENCIA Y TECNOLOGIA";"OEMS";"Customer";"LIZETH MARTINEZ";"2/05/2025"
"C&M INGENIEROS";"OEMS";"Integrator";"LIZETH MARTINEZ";"8/05/2025"
"ELECTRO INDUSTRIAL POLIEMPACK";"OEMS";"Integrator";"LIZETH MARTINEZ";"12/08/2025"
"E&ADM INGENIERIA";"OEMS";"Customer";"LIZETH MARTINEZ";"19/05/2025"
"INGEFARM EU";"OEMS";"Customer";"LIZETH MARTINEZ";"26/05/2025"
"SILBEC";"OEMS";"Customer";"LIZETH MARTINEZ";"7/07/2025"
"VERPACKEN";"OEMS";"Customer";"LIZETH MARTINEZ";"7/07/2025"
"ECOPOWER";"OEMS";"Customer";"LIZETH MARTINEZ";"7/07/2025"
"GMT VARITEC DE COLOMBIA";"OEMS";"Customer";"LIZETH MARTINEZ";"28/07/2025"
"FLEISCHMANN COLOMBIA";"OEMS";"Customer";"LIZETH MARTINEZ";"4/08/2025"
"GAS INSTRUMENT";"OEMS";"Customer";"LIZETH MARTINEZ";"8/08/2025"
