"Nombre de la cuenta";"Sector";"Tipo";"Propietario de la cuenta";"Fecha de la última modificación"
"QUALITY TEST SAS";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"22/07/2024"
"DISICER SAS";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"Enermatic";"INGENIERIA";"Integrator";"HERNAN ROLDAN";"10/07/2024"
"GRUPO EMPRESARIAL ROTTERDAM";"INGENIERIA";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"TEIMAN SAS";"INGENIERIA";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"PROLAUNDRY";"INGENIERIA";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"INGENIERIA INTEGRAL LTDA";"INGENIERIA";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"INGENIERÍA MANTENIMIENTO Y SERVICIOS ORIENTALES IMSO";"INGENIERIA";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"CL INGENIERIA";"INGENIERIA";"Customer";"JHOAN ORTIZ";"31/01/2025"
"PRYCE SAS";"INGENIERIA";"Customer";"JHOAN ORTIZ";"12/08/2025"
"SMB INGENIERIA Y PROYECTOS";"INGENIERIA";"Customer";"KAREN CARRILLO";"26/08/2024"
"CROIL SERVICIOS E INGENIERIA SAS";"INGENIERIA";"Prospect";"KAREN CARRILLO";"9/06/2025"
"IMAGEN Y SONIDO";"INGENIERIA";"Prospect";"Juan Garzón Linares";"11/10/2024"
"CROIL SERVICIOS DE INGENIERIA";"INGENIERIA";"Customer";"JHOAN ORTIZ";"12/08/2025"
"NUBID SAS";"INGENIERIA";"Customer";"KAREN CARRILLO";"17/12/2024"
"INGUATIN SAS";"INGENIERIA";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"21/01/2025"
"Electroinstrumentación";"INGENIERIA";"Customer";"KAREN CARRILLO";"18/02/2025"
"ELECAM SAS";"INGENIERIA";"Customer";"KAREN CARRILLO";"19/02/2025"
"ADMITEC";"INGENIERIA";"Customer";"KAREN CARRILLO";"28/02/2025"
"GM GROUPLLC SAS";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"10/03/2025"
"ASESORIAS & SERVICIOS ARIZA NARVAEZ S.A.S";"INGENIERIA";"Customer";"Juan Garzón Linares";"31/03/2025"
"SIMETRYK";"INGENIERIA";"Customer";"KAREN CARRILLO";"28/04/2025"
"NANOTECH FUELS GREEN";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"12/08/2025"
"ENG SOLUTIONS";"INGENIERIA";"Customer";"KAREN CARRILLO";"19/05/2025"
"AQ INGENIERIA";"INGENIERIA";"Customer";"KAREN CARRILLO";"4/07/2025"
"IHS INTERNACIONAL";"INGENIERIA";"Customer";"KAREN CARRILLO";"28/07/2025"
"PLC INGENIERIA Y PROYECTOS SAS";"INGENIERIA";"Integrator";"HERNAN ROLDAN";"25/08/2025"
"TECMON TECNOLOGIAS NAL SAS";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"12/08/2025"
"SILEX";"INGENIERIA";"Customer";"KAREN CARRILLO";"5/09/2025"
"INGEAR";"INGENIERIA";"Customer";"KAREN CARRILLO";"12/09/2025"
"SIEMA IND SAS";"INGENIERIA";"Customer";"Juan Garzón Linares";"14/09/2025"
"HIPERSUMINISTROS";"INGENIERIA";"Customer";"KAREN CARRILLO";"29/09/2025"
"HIDROINTEC";"INGENIERIA";"Customer";"KAREN CARRILLO";"6/10/2025"
"PSI S.AS";"INTEGRADORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"INMSA SAS";"INTEGRADORES";"Customer";"MELISSA PEREZ";"19/04/2024"
"SISTEMAS DIGITALES DE COLOMBIA";"INTEGRADORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"SUMINISTROS Y SERVICIOS ELECTRICOS S.A.S";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"APROMAQ S.A.S";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ISAV SERVICES S.A.S.";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"INDUTECSA";"INTEGRADORES";"Reseller";"Juan Garzón Linares";"8/04/2024"
"INGEMECANICA S.A.S";"INTEGRADORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"AUTOMATIZAR GD S.A.S";"INTEGRADORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ML SUPPLY S.A.S";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"KTRONIKA S.A.S";"INTEGRADORES";"Customer";"MELISSA PEREZ";"19/04/2024"
"METALPLAST LTDA";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"INDUSTRIA COLOMBIANA DE MANTENIMIENTO Y MAQUINARIA S.A.S- incolmat";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"8/04/2024"
"APCYTEL S.A.S";"INTEGRADORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"INGEMA INDUSTRIAL S.A.S";"INTEGRADORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"Mdals Control Automatizacion E Ingenieria S A S";"INTEGRADORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"EP SOLUTIONS";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"8/04/2024"
"EURO NETWORKS & TECHNOLOGY";"INTEGRADORES";"Customer";"Juan Garzón Linares";"10/04/2024"
"ING DAVID RODRIGUEZ";"INTEGRADORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"CESAR MAURICIO MESA";"INTEGRADORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"SPI SERVICIOS Y PROYECTOS INDUSTRIALES";"INTEGRADORES";"Integrator";"LIZETH MARTINEZ";"9/04/2024"
"INGENIERO CARLOS ANDRES SANCHEZ";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"PROTEC AUTOMATION SAS";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"BYC ANDINA S.A.S";"INTEGRADORES";"Analyst";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"TECNOLOGIA DE AVANZADA COLOMBIA SAS";"INTEGRADORES";"Customer";"Juan Garzón Linares";"8/04/2024"
"AIT SOLUCIONES AUTOMATICAS";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"TEK CONTROL SAS";"INTEGRADORES";"Customer";"Juan Garzón Linares";"14/08/2025"
"ELEMEING";"INTEGRADORES";"Customer";"Juan Garzón Linares";"10/04/2024"
"METROAUTOMATIZACION";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"AMERICAN ROLLER";"INTEGRADORES";"Integrator";"LIZETH MARTINEZ";"28/01/2025"
"INTEGRA ELECTRA S.A.S";"INTEGRADORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"PAC Ingenieria";"INTEGRADORES";"Customer";"JHOAN ORTIZ";"8/04/2024"
"ELECTROLEG S.A.";"INTEGRADORES";"Integrator";"JHOAN ORTIZ";"5/04/2024"
"HYDRO SYSTEMS SD";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"MACROELECTRICOS";"INTEGRADORES";"Customer";"Juan Garzón Linares";"11/04/2024"
"H2O CONTROL E INGENIERIA";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"SEMTELCO INGENIERIA S.A.S";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"INGEMEKS";"INTEGRADORES";"Customer";"HERNAN ROLDAN";"12/08/2025"
"SEIC SERVICIOS ESPECIALIZADOS DE INGENIERIA Y CONSULTORIA";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"FICO FERRETERIAS";"INTEGRADORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"INDUSTRYTEC";"INTEGRADORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ALEIA SAS";"INTEGRADORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"GLOBAL ELECTRIC M&M SAS";"INTEGRADORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"AUTOMATIZACIONES JES";"INTEGRADORES";"Integrator";"Juan Garzón Linares";"12/08/2025"
"ROYTEC S.A.";"INTEGRADORES";"Customer";"Juan Garzón Linares";"13/08/2025"
"STROM";"INTEGRADORES";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"VOLUMED";"INTEGRADORES";"Customer";"Juan Garzón Linares";"13/08/2025"
"FLUXCONTROL";"INTEGRADORES";"Customer";"Juan Garzón Linares";"13/08/2025"
"MUTUAL INGENIERIA";"INTEGRADORES";"Integrator";"JHOAN ORTIZ";"15/08/2025"
"Buffalo Business Group SAS";"INTEGRADORES";"Customer";"HERNAN ROLDAN";"26/08/2025"
"IAE PROYECTOS";"INTEGRADORES";"Integrator";"Juan Garzón Linares";"13/08/2025"
"MJH Soluciones industriales";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"5/04/2024"
"RESOLVER";"INTEGRADORES";"Integrator";"MELISSA PEREZ";"20/08/2025"
"CONTROL Y LOGICA";"INTEGRADORES";"Analyst";"KAREN CARRILLO";"20/01/2025"
"SUMI INGENIERIA";"INTEGRADORES";"Integrator";"KAREN CARRILLO";"20/01/2025"
"ELECMER";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"30/04/2025"
"GARLAS CONTROL";"INTEGRADORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"MONTAJES Y MECANIZADOS CNC";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"5/04/2024"
"SERVINDING";"INTEGRADORES";"Integrator";"JHOAN ORTIZ";"8/04/2024"
"BANCOL-Bandas Y Correas De Colombia S.A.S.";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"29/04/2024"
"VALVE SOLUTIONS S.A.S.";"INTEGRADORES";"Customer";"HERNAN ROLDAN";"26/08/2025"
"INSTRUCONT.";"INTEGRADORES";"Other";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"KOPPER AUTOMATIZACIONES";"INTEGRADORES";"Other";"YENI OLARTE";"26/11/2024"
"MR CONTROL SAS";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"AVANTEC LTDA";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"8/04/2024"
"NESTOR ACEVEDO";"INTEGRADORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"INSTRUMEINTS SAS";"INTEGRADORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"EDILBERTO ANDRADE";"INTEGRADORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"INAUCO";"INTEGRADORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"NOVUS AUTOMATION";"INTEGRADORES";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"PROSER IEC S.A.S.";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"8/04/2024"
"SURELIN";"INTEGRADORES";"Customer";"Juan Garzón Linares";"15/08/2025"
"ALTRON INGENIERÍA";"INTEGRADORES";"Customer";"HERNAN ROLDAN";"26/08/2025"
"MACD ELECTROMECANICO";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"16/04/2024"
"AUTOMATIZACION P&E SAS";"INTEGRADORES";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"PROGRESSIVE";"INTEGRADORES";"Integrator";"HERNAN ROLDAN";"26/08/2025"
"MEGALUZ INGENIERIA";"INTEGRADORES";"Integrator";"JHOAN ORTIZ";"5/04/2024"
"JWG SAS";"INTEGRADORES";"Customer";"JHOAN ORTIZ";"27/11/2024"
"SERPROELEC SAS";"INTEGRADORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"SP AUTOMATIZAR";"INTEGRADORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"RODITEC S.A.S.";"INTEGRADORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"MECATROCOL";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"CIME ELECTRICOS S.A.S";"INTEGRADORES";"Analyst";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"POWER MAINTENANCE SAS";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"SYS INGENIERIA";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"8/04/2024"
"Supetrocol";"INTEGRADORES";"Customer";"HERNAN ROLDAN";"26/08/2025"
"FR Ingenieria";"INTEGRADORES";"Customer";"KAREN CARRILLO";"20/01/2025"
"PM SOLUTION";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"25/11/2024"
"INVERSIONES ELCER SAS";"INTEGRADORES";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"SERVIPROYECTOS NP";"INTEGRADORES";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"ELECTROINDUSTRIALES DE COLOMBIA SAS";"INTEGRADORES";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"PROSOLUTIONS";"INTEGRADORES";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"AIR CONTROL GRUPO";"INTEGRADORES";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"INSE GROUP SAS";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"19/12/2024"
"POWER QUALITY";"INTEGRADORES";"Integrator";"LIZETH MARTINEZ";"19/12/2024"
"TOVAS INGENIERIA";"INTEGRADORES";"Integrator";"Juan Garzón Linares";"4/06/2025"
"COINAT";"INTEGRADORES";"Integrator";"HERNAN ROLDAN";"26/08/2025"
"ELÉCTRICOS HC";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"28/08/2025"
"Motores y energía S.A.S.";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"28/08/2025"
"GEP COMPANY";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"28/08/2025"
"COMSISER";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"28/08/2025"
"ELÉCTRICOS IDEAL";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"28/08/2025"
"IGET";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"28/08/2025"
"SEM INGENIERIA";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"29/08/2025"
"SWARCO ANDINA";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"29/08/2025"
"AID GROUP";"INTEGRADORES";"Integrator";"LIZETH MARTINEZ";"8/09/2025"
"SOLUCIONES INTEGRALES DE ESTERILIZACION";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"8/09/2025"
"SOLUCIONES MENDOZA";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"29/09/2025"
"HENKEL INTERNACIONAL";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"29/09/2025"
"SYNERGYTECH";"INTEGRADORES";"Customer";"LIZETH MARTINEZ";"29/09/2025"
"INDUSTRIA SIPCO";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"10/04/2024"
"HERRAMIENTAS INDUSTRIALES S.A.S";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"MACRO ELECTRICOS LTDA";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"19/04/2024"
"SERVICIOS Y SUMINISTROS PETROLEROS S.A.S";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"5/08/2025"
"EQUIPOS Y HERRAMIENTAS";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ORAS GROUP";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"19/04/2024"
"REDES ELECTRICAS S.A";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"TUVAL TECH";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"10/04/2024"
"AIR CENTER S.A.S";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"PROELECT SOLUCIONES INDUSTRIALES";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"8/04/2024"
"FERRETERIA SAE S.A.S";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"RACOMANG";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"19/04/2024"
"SCALE SYSTEMS S.A.S.";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"ORF- Organización flor huila";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ALFA Y OMEGA INSTRUMENTACION SAS";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ELECTROMET LTDA";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"CORIOLIS SOLUCIONES SAS";"DISTRIBUIDORES";"Integrator";"LIZETH MARTINEZ";"24/02/2025"
"Surtieléctricos";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"ELECTRICOS Y AUTOMATIZACIONES DEL VALLE";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"10/04/2024"
"CONMEIN - Control Metrologico Industrial s.a.s";"DISTRIBUIDORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"JCP SUPPLIES";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"FERCASTEC";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"GLOBE INDUSTRIES";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"WEB COLOMBIA S.A.S";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"COLPESAJE";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"ELEMENTOS ELÉCTRICOS DE CALI";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"Llano electricos";"DISTRIBUIDORES";"Customer";"JHOAN ORTIZ";"8/04/2024"
"SUMIFER SAS";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"INDUSTRIAL TEC INNOVACIONES SERVICIOS";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"TECNO VALAN";"DISTRIBUIDORES";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"EM AUTOMATIZACIONES S.A.S.";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"AMI ELECTRIC SAS";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"12/08/2025"
"ALMACEN PANAMERICANO";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"12/08/2025"
"VIMAR S.A.S.";"DISTRIBUIDORES";"Reseller";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"JJR TOOLS";"DISTRIBUIDORES";"Customer";"JHOAN ORTIZ";"16/04/2024"
"Distribuidora las palmas";"DISTRIBUIDORES";"Customer";"JHOAN ORTIZ";"16/04/2024"
"SISTEMAS INDUSTRIALES Y CONTROL";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"RODRIGUEZ & URBINA LTDA";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"8/04/2024"
"DAEECO S.A.S.";"DISTRIBUIDORES";"Reseller";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"SIICONTROL";"DISTRIBUIDORES";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"CTL COMPANY";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"COMPEL SA";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"EJE MANTENIMIENTO";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"LA SORPRESA PANADERIA";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"DISTRIBUIDOR NACIONAL DE CALDERAS";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ENLACE ELECTRICO";"DISTRIBUIDORES";"Reseller";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"UNIELECT LTDA";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"13/08/2025"
"SYMIS S.A.S.";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"13/08/2025"
"FERREMAT CALI";"DISTRIBUIDORES";"Reseller";"Juan Garzón Linares";"13/08/2025"
"EURO INSTRUMENTS";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"SERIES RODANTES";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"COMUNICACIONES Y ELÉCTRICOS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"ELECTRIC SOLUTION";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"Ferreimportadora HMA";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"MAQUITODO";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"AUTOSOL";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"ELECTRICOS DEL VALLE";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"ELECTRO MODERNO";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"COMPRESORES Y MOTORES BOGOTÁ";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"SUPPLYTEC";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"28/01/2025"
"INDUFERRAM";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"SURTIELECTRONIC S.A.S";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"DIELECTRICOS NA";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"Multiservicios FG";"DISTRIBUIDORES";"Reseller";"HERNAN ROLDAN";"26/08/2025"
"MARCO REPRESENTACIONES INDUSTRIALES";"DISTRIBUIDORES";"Integrator";"LIZETH MARTINEZ";"9/04/2024"
"CEQUIN COMERCIALIZADORA DE EQUIPOS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"SUMIMTEC";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"IMPORTSOLUCIONES";"DISTRIBUIDORES";"Reseller";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"Q&T IMPORTACIONES SAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"ATLAS LIMITED S.A.S";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"PSI FERRETERIA LTDA";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"CHAMECA";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"14/08/2025"
"PT ENGINEERING SUPLIES S.A";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"DISARTEC JG SAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"ENERGIA, REDES Y SERVICIOS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"DET SAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"INSTRUELECTRONIC";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"COPROIND LTDA";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"SUMINISTROS MAYBE SAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"EL PODER ELECTRICO";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"Global Supplies Solutions";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"AUTOEQUIC";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"Electro hidraulica S.A.";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"SUMINISTROS Y SERVICIOS TECNICOS SAS";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"RIS AUTOMATION";"DISTRIBUIDORES";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"VALSER INDUSTRIALES";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"14/08/2025"
"GNH COLOMBIA";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"ANDINA INTERNACIONAL";"DISTRIBUIDORES";"Reseller";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"VARKA SUPPLY SAS";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"28/01/2025"
"DIELCO";"DISTRIBUIDORES";"Customer";"HERNAN ROLDAN";"26/08/2025"
"SEGURIDAD Y GESTIÓN DEL RIESGO SAS";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"8/04/2024"
"Datanova";"DISTRIBUIDORES";"Customer";"KAREN CARRILLO";"20/01/2025"
"ELECTROBÁSCULAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"REDES Y COMUNICACIONES ELECTRICAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"DISEÑO SERVICIO Y REPRESENTACION S.A.S.";"DISTRIBUIDORES";"Reseller";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"SUMINISTROS Y SERVICIOS TÉCNICOS SAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"CEPSA";"DISTRIBUIDORES";"Integrator";"MELISSA PEREZ";"20/08/2025"
"COLDECON";"DISTRIBUIDORES";"Reseller";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"CARLOS TRIANA Y CIA";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"18/11/2024"
